v8-version,6,2,414,50,0
code-creation,Stub,3,2929,0x333c03baf260,2109,"RecordWriteStub"
code-creation,Stub,3,2930,0x333c03bafb00,2072,"RecordWriteStub"
code-creation,Stub,3,2931,0x333c03bb0380,2130,"RecordWriteStub"
code-creation,Stub,3,2932,0x333c03bb0c40,2125,"RecordWriteStub"
code-creation,Handler,4,2933,0x333c03bb1500,552,"An IC handler from the snapshot"
code-creation,Stub,3,2934,0x333c03bb17a0,2088,"RecordWriteStub"
code-creation,Stub,3,2935,0x333c03bb2040,2129,"RecordWriteStub"
code-creation,Stub,3,2935,0x333c03bb2900,1225,"RecordWriteStub"
code-creation,Stub,3,2936,0x333c03bb2e40,269,"CEntryStub"
code-creation,Stub,3,2937,0x333c03bb2fc0,2100,"RecordWriteStub"
code-creation,Stub,3,2938,0x333c03bb3860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2939,0x333c03bb39a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2940,0x333c03bb3b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,2941,0x333c03bb3e60,2091,"RecordWriteStub"
code-creation,Stub,3,2942,0x333c03bb4700,2130,"RecordWriteStub"
code-creation,Handler,4,2943,0x333c03bb4fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,2944,0x333c03bb50c0,2076,"RecordWriteStub"
code-creation,Stub,3,2944,0x333c03bb5940,884,"RecordWriteStub"
code-creation,Stub,3,2945,0x333c03bb5d20,331,"CallApiGetterStub"
code-creation,Stub,3,2946,0x333c03bb5ee0,261,"MathPowStub"
code-creation,Stub,3,2947,0x333c03bb6060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2948,0x333c03bb6200,2091,"RecordWriteStub"
code-creation,Stub,3,2949,0x333c03bb6aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2950,0x333c03bb6be0,2134,"RecordWriteStub"
code-creation,Stub,3,2951,0x333c03bb74a0,2126,"RecordWriteStub"
code-creation,Stub,3,2951,0x333c03bb7d60,1207,"RecordWriteStub"
code-creation,Stub,3,2952,0x333c03bb8280,2079,"RecordWriteStub"
code-creation,Stub,3,2953,0x333c03bb8b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2954,0x333c03bb8d00,2099,"RecordWriteStub"
code-creation,Stub,3,2955,0x333c03bb95a0,2160,"RecordWriteStub"
code-creation,Stub,3,2956,0x333c03bb9e80,2088,"RecordWriteStub"
code-creation,Stub,3,2957,0x333c03bba720,89,"DoubleToIStub"
code-creation,Stub,3,2961,0x333c03bba7e0,2118,"RecordWriteStub"
code-creation,Stub,3,2962,0x333c03bbb0a0,2104,"RecordWriteStub"
code-creation,Handler,4,2963,0x333c03bbb940,132,"An IC handler from the snapshot"
code-creation,Stub,3,2964,0x333c03bbba40,87,"DoubleToIStub"
code-creation,Stub,3,2965,0x333c03bbbb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2966,0x333c03bbbcc0,2100,"RecordWriteStub"
code-creation,Handler,4,2967,0x333c03bbc560,612,"An IC handler from the snapshot"
code-creation,Stub,3,2968,0x333c03bbc840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2969,0x333c03bbc9e0,2118,"RecordWriteStub"
code-creation,Stub,3,2970,0x333c03bbd2a0,2091,"RecordWriteStub"
code-creation,Stub,3,2970,0x333c03bbdb40,2087,"RecordWriteStub"
code-creation,Stub,3,2971,0x333c03bbe3e0,2145,"RecordWriteStub"
code-creation,Stub,3,2972,0x333c03bbecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,2973,0x333c03bbef60,884,"RecordWriteStub"
code-creation,Stub,3,2974,0x333c03bbf340,2088,"RecordWriteStub"
code-creation,Stub,3,2975,0x333c03bbfbe0,2087,"RecordWriteStub"
code-creation,Stub,3,2976,0x333c03bc0480,2088,"RecordWriteStub"
code-creation,Stub,3,2976,0x333c03bc0d20,308,"CEntryStub"
code-creation,Stub,3,2977,0x333c03bc0ec0,2130,"RecordWriteStub"
code-creation,Stub,3,2978,0x333c03bc1780,2130,"RecordWriteStub"
code-creation,Stub,3,2979,0x333c03bc2040,2148,"RecordWriteStub"
code-creation,Stub,3,2980,0x333c03bc2920,2118,"RecordWriteStub"
code-creation,Stub,3,2981,0x333c03bc31e0,2075,"RecordWriteStub"
code-creation,Stub,3,2982,0x333c03bc3a60,1246,"RecordWriteStub"
code-creation,Handler,4,2982,0x333c03bc3fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,2983,0x333c03bc4260,2126,"RecordWriteStub"
code-creation,Stub,3,2984,0x333c03bc4b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2985,0x333c03bc4c60,2063,"RecordWriteStub"
code-creation,Stub,3,2986,0x333c03bc54e0,2100,"RecordWriteStub"
code-creation,Stub,3,2987,0x333c03bc5d80,2103,"RecordWriteStub"
code-creation,Handler,4,2988,0x333c03bc6620,552,"An IC handler from the snapshot"
code-creation,Stub,3,2989,0x333c03bc68c0,896,"RecordWriteStub"
code-creation,Stub,3,2989,0x333c03bc6ca0,2100,"RecordWriteStub"
code-creation,Stub,3,2990,0x333c03bc7540,2104,"RecordWriteStub"
code-creation,Stub,3,2991,0x333c03bc7de0,1246,"RecordWriteStub"
code-creation,Stub,3,2992,0x333c03bc8320,2100,"RecordWriteStub"
code-creation,Stub,3,2993,0x333c03bc8bc0,2072,"RecordWriteStub"
code-creation,Stub,3,2993,0x333c03bc9440,2099,"RecordWriteStub"
code-creation,Stub,3,2994,0x333c03bc9ce0,2134,"RecordWriteStub"
code-creation,Stub,3,2995,0x333c03bca5a0,2104,"RecordWriteStub"
code-creation,Stub,3,2996,0x333c03bcae40,2100,"RecordWriteStub"
code-creation,Stub,3,2997,0x333c03bcb6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,2998,0x333c03bcb8a0,25,"Abort"
code-creation,Stub,3,2999,0x333c03bcb920,2114,"RecordWriteStub"
code-creation,Builtin,5,3000,0x333c03bcc1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,3001,0x333c03bcc260,28,"ReturnReceiver"
code-creation,Builtin,5,3002,0x333c03bcc2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,3003,0x333c03bcc500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,3004,0x333c03bcc660,223,"CreateIterResultObject"
code-creation,Builtin,5,3005,0x333c03bcc7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,3006,0x333c03bcc9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,3007,0x333c03bccc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,3008,0x333c03bcd2a0,76,"ToBoolean"
code-creation,Builtin,5,3009,0x333c03bcd360,3876,"ResolveNativePromise"
code-creation,Builtin,5,3010,0x333c03bce300,284,"StringEqual"
code-creation,Builtin,5,3011,0x333c03bce480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,3012,0x333c03bcf900,668,"RejectNativePromise"
code-creation,Builtin,5,3013,0x333c03bcfc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,3014,0x333c03bd0460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,3015,0x333c03bd0b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,3020,0x333c03bd0f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,3021,0x333c03bd1120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,3022,0x333c03bd12c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,3023,0x333c03bd13a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,3024,0x333c03bd1880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,3025,0x333c03bd1c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,3026,0x333c03bd2080,15,"Illegal"
code-creation,Builtin,5,3027,0x333c03bd2100,15,"ObjectAssign"
code-creation,Builtin,5,3028,0x333c03bd2180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,3029,0x333c03bd2200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,3030,0x333c03bd2280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,3031,0x333c03bd2300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,3032,0x333c03bd2380,15,"ObjectIs"
code-creation,Builtin,5,3033,0x333c03bd2400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,3034,0x333c03bd2480,15,"ObjectSeal"
code-creation,Builtin,5,3035,0x333c03bd2500,848,"ObjectCreate"
code-creation,Builtin,5,3036,0x333c03bd28c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,3036,0x333c03bd2940,15,"ObjectDefineProperty"
code-creation,Builtin,5,3037,0x333c03bd29c0,15,"ObjectFreeze"
code-creation,Builtin,5,3038,0x333c03bd2a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,3039,0x333c03bd2ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,3040,0x333c03bd2b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,3041,0x333c03bd2bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,3042,0x333c03bd2c40,15,"ObjectIsSealed"
code-creation,Builtin,5,3043,0x333c03bd2cc0,540,"ObjectKeys"
code-creation,Builtin,5,3043,0x333c03bd2f40,15,"ObjectEntries"
code-creation,Builtin,5,3044,0x333c03bd2fc0,15,"ObjectValues"
code-creation,Builtin,5,3045,0x333c03bd3040,15,"ObjectDefineGetter"
code-creation,Builtin,5,3046,0x333c03bd30c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,3047,0x333c03bd3140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,3048,0x333c03bd3940,15,"ObjectLookupGetter"
code-creation,Builtin,5,3049,0x333c03bd39c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,3050,0x333c03bd3a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,3050,0x333c03bd3b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,3051,0x333c03bd3c00,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,3052,0x333c03bd4100,132,"ClassOf"
code-creation,Builtin,5,3053,0x333c03bd4200,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,3054,0x333c03bd42a0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,3055,0x333c03bd4320,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,3056,0x333c03bd43a0,15,"FunctionConstructor"
code-creation,Builtin,5,3057,0x333c03bd4420,64,"FunctionPrototypeApply"
code-creation,Builtin,5,3058,0x333c03bd44c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,3059,0x333c03bd4a00,81,"CallVarargs"
code-creation,Builtin,5,3060,0x333c03bd4ac0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,3061,0x333c03bd4e80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,3062,0x333c03bd4f00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,3062,0x333c03bd4fa0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,3063,0x333c03bd5020,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,3064,0x333c03bd5180,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,3065,0x333c03bd5220,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,3066,0x333c03bd56a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,3067,0x333c03bd5b20,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,3068,0x333c03bd5c20,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,3069,0x333c03bd5d40,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,3070,0x333c03bd5e60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,3071,0x333c03bd5f80,163,"AsyncGeneratorReturnClosedResolveClosure"
